Date,Start Time,Value,Year
1/1/2016,0,17.09283446,2016
1/1/2016,100,9.880641864,2016
1/1/2016,200,11.52908447,2016
1/1/2016,300,11.82799783,2016
1/1/2016,400,3.174929146,2016
1/1/2016,500,23.00553934,2016
1/1/2016,600,11.29750282,2016
1/1/2016,700,2.473174401,2016
1/1/2016,800,7.005389073,2016
1/1/2016,900,2.689220859,2016
1/1/2016,1000,8.281452721,2016
1/1/2016,1100,2.479579812,2016
1/1/2016,1200,18.83388572,2016
1/1/2016,1300,1.859498685,2016
1/1/2016,1400,20.05987396,2016
1/1/2016,1500,18.82541732,2016
1/1/2016,1600,1.422269414,2016
1/1/2016,1700,18.92671915,2016
1/1/2016,1800,21.82791878,2016
1/1/2016,1900,18.09575906,2016
1/1/2016,2000,0.446802758,2016
1/1/2016,2100,0.874956819,2016
1/1/2016,2200,1.734157229,2016
1/1/2016,2300,11.42308392,2016
1/2/2016,0,4.140805469,2016
1/2/2016,100,4.186328582,2016
1/2/2016,200,8.382989347,2016
1/2/2016,300,10.64657202,2016
1/2/2016,400,4.093708964,2016
1/2/2016,500,1.08567037,2016
1/2/2016,600,15.18975801,2016
1/2/2016,700,3.511706045,2016
1/2/2016,800,9.226119997,2016
1/2/2016,900,5.217704432,2016
1/2/2016,1000,1.29120708,2016
1/2/2016,1100,6.257756269,2016
1/2/2016,1200,19.30561828,2016
1/2/2016,1300,3.288460974,2016
1/2/2016,1400,7.136860502,2016
1/2/2016,1500,15.55961751,2016
1/2/2016,1600,0.227574455,2016
1/2/2016,1700,1.70544357,2016
1/2/2016,1800,5.561401679,2016
1/2/2016,1900,22.36678532,2016
1/2/2016,2000,18.67470366,2016
1/2/2016,2100,9.559799955,2016
1/2/2016,2200,14.74563415,2016
1/2/2016,2300,11.03831952,2016
1/3/2016,0,7.425685156,2016
1/3/2016,100,6.204408798,2016
1/3/2016,200,9.497449645,2016
1/3/2016,300,0.509219965,2016
1/3/2016,400,1.3321286,2016
1/3/2016,500,11.92379998,2016
1/3/2016,600,10.7660341,2016
1/3/2016,700,2.655825664,2016
1/3/2016,800,6.191598173,2016
1/3/2016,900,13.34797344,2016
1/3/2016,1000,15.32689643,2016
1/3/2016,1100,4.27141694,2016
1/3/2016,1200,3.638960639,2016
1/3/2016,1300,0.645716331,2016
1/3/2016,1400,11.05367336,2016
1/3/2016,1500,7.889238528,2016
1/3/2016,1600,13.38818254,2016
1/3/2016,1700,9.549564758,2016
1/3/2016,1800,21.58189714,2016
1/3/2016,1900,13.73135788,2016
1/3/2016,2000,0.387765406,2016
1/3/2016,2100,5.252854971,2016
1/3/2016,2200,2.778670467,2016
1/3/2016,2300,15.9371905,2016
1/4/2016,0,10.01480226,2016
1/4/2016,100,10.08315382,2016
1/4/2016,200,23.93882726,2016
1/4/2016,300,16.06839273,2016
1/4/2016,400,10.02667857,2016
1/4/2016,500,3.520843189,2016
1/4/2016,600,17.81565513,2016
1/4/2016,700,24.26497504,2016
1/4/2016,800,7.692799747,2016
1/4/2016,900,0.127527847,2016
1/4/2016,1000,11.70093613,2016
1/4/2016,1100,8.736703723,2016
1/4/2016,1200,6.702288142,2016
1/4/2016,1300,15.99063812,2016
1/4/2016,1400,22.68863114,2016
1/4/2016,1500,13.66031968,2016
1/4/2016,1600,15.14623153,2016
1/4/2016,1700,7.295214201,2016
1/4/2016,1800,16.37695008,2016
1/4/2016,1900,16.8603316,2016
1/4/2016,2000,5.14320908,2016
1/4/2016,2100,1.348876995,2016
1/4/2016,2200,4.332594217,2016
1/4/2016,2300,14.8533394,2016
1/5/2016,0,20.71507931,2016
1/5/2016,100,10.45322717,2016
1/5/2016,200,17.75179573,2016
1/5/2016,300,11.05072816,2016
1/5/2016,400,24.71907992,2016
1/5/2016,500,11.68482165,2016
1/5/2016,600,7.541661763,2016
1/5/2016,700,11.67228046,2016
1/5/2016,800,2.960243624,2016
1/5/2016,900,2.554391944,2016
